movie_id,title,genre,release_year,rating,votes,revenue_millions
104,The Final River,Romance,2023,5.9,43493,480.6
105,The Lost Dream,Comedy,2013,3.7,239918,480.8
106,The Secret Journey,Sci-Fi,2002,4.4,284894,699.8
107,The Lost Storm,Sci-Fi,2008,9.4,53845,625.6
108,The Lost Storm,Drama,2017,8.5,45754,373.3
109,The Broken Kingdom,Documentary,2017,8.5,320102,537.9
110,The Broken Kingdom,Documentary,1998,6.5,279218,239.0
111,The Distant Dream,Sci-Fi,2012,9.2,269851,837.7
112,The Hidden Horizon,Drama,2003,7.4,69718,212.3
113,The Hidden Storm,Comedy,2012,6.9,196848,384.2
114,The Silent River,Sci-Fi,2012,7.4,460116,313.8
115,The Lost Journey,Romance,2024,6.9,365730,304.6
116,The Broken River,Documentary,2008,6.0,169424,704.1
117,The Wild Storm,Documentary,2016,8.8,399790,41.2
118,The Final Horizon,Action,2005,5.6,504,843.1
119,The Golden Dream,Comedy,2012,3.2,189121,212.9
120,The Golden Horizon,Horror,2014,7.6,396109,199.1
121,The Lost Kingdom,Horror,1999,,118739,441.6
122,The Eternal Journey,Documentary,2022,7.4,250602,60.3
123,The Silent Journey,Drama,2018,8.7,72045,325.4
124,The Golden Journey,Sci-Fi,1995,6.8,86194,374.1
125,The Golden River,Sci-Fi,2023,8.5,45599,762.1
126,The Hidden City,Horror,2015,8.0,130061,235.5
127,The Wild Signal,Drama,1996,8.4,345344,744.5
128,The Broken River,Drama,1998,8.0,416318,811.5
129,The Final Signal,Action,1995,9.4,489795,269.1
130,The Hidden City,Sci-Fi,2006,,404044,62.1
131,The Broken Horizon,Action,2020,6.0,329702,605.8
132,The Hidden Journey,Romance,2004,4.4,162630,67.3
133,The Golden Legacy,Drama,2020,6.6,400299,709.4
134,The Hidden Kingdom,Action,2010,3.1,227944,98.7
135,The Golden Journey,Action,2003,7.4,86045,422.0
136,The Distant Shadow,Drama,2003,7.7,458094,228.5
137,The Lost City,Documentary,2022,4.4,33637,223.6
138,The Final Storm,Sci-Fi,2018,2.9,450702,481.9
139,The Silent Signal,Romance,2002,,266920,2.3
140,The Lost Storm,Drama,2019,8.9,93977,791.5
141,The Hidden Kingdom,Drama,2010,5.4,377788,272.0
142,The Silent Legacy,Romance,1998,3.8,421854,
143,The Final Dream,Documentary,2014,4.8,290129,388.3
144,The Distant Signal,Comedy,2024,5.1,258813,848.1
145,The Secret Kingdom,Comedy,1995,9.0,12685,198.1
146,The Lost City,Action,2019,8.4,381420,261.5
147,The Hidden Storm,Action,2004,7.5,48922,37.4
148,The Hidden City,Horror,2000,6.6,265139,113.6
149,The Wild Horizon,Horror,2003,4.2,136984,723.3
150,The Eternal City,Horror,2012,4.1,494844,172.4
151,The Golden Journey,Comedy,2023,5.8,213279,102.7
152,The Final Dream,Horror,2011,8.5,47556,134.1
153,The Wild Horizon,Comedy,2015,3.5,373001,211.1
154,The Distant Dream,Documentary,2006,2.7,212167,726.4
155,The Silent Storm,Action,2003,3.4,32482,705.8
156,The Hidden City,Romance,2000,6.6,135846,779.8
157,The Broken Storm,Documentary,2003,3.1,444366,705.0
158,The Final Horizon,Comedy,2022,8.3,207243,421.8
159,The Eternal Kingdom,Comedy,2012,4.5,463318,126.4
160,The Distant Storm,Horror,2025,2.9,146833,325.6
161,The Secret Kingdom,Romance,1996,9.4,410099,606.4
162,The Eternal Signal,Sci-Fi,2015,5.2,94425,22.3
163,The Distant Horizon,Documentary,2025,6.2,402196,496.4
164,The Broken Kingdom,Drama,1998,7.8,497071,186.6
165,The Eternal Shadow,Comedy,2010,6.6,422836,627.4
166,The Eternal Signal,Sci-Fi,2004,6.4,98838,711.2
167,The Secret Dream,Comedy,2026,2.8,29598,197.8
168,The Lost City,Sci-Fi,2007,8.1,178805,609.4
169,The Eternal Horizon,Action,2004,6.6,481039,120.5
170,The Eternal Journey,Drama,2020,6.6,176604,256.6
171,The Hidden Storm,Romance,2015,3.7,294787,589.6
172,The Broken Signal,Documentary,2006,5.1,384974,585.3
173,The Wild River,Documentary,1997,3.8,166987,782.9
174,The Wild Journey,Horror,2004,4.8,40943,202.4
175,The Silent City,Horror,1995,4.4,130981,589.2
176,The Lost Horizon,Horror,2023,7.6,87359,751.9
177,The Secret River,Action,2025,8.0,303217,553.4
178,The Silent Horizon,Drama,1996,4.7,499095,89.1
179,The Golden Journey,Sci-Fi,2000,4.9,321876,759.3
180,The Golden Signal,Horror,2005,2.9,173738,174.8
181,The Secret Dream,Romance,2013,4.6,50437,42.3
182,The Golden Horizon,Drama,1995,5.5,154578,700.3
183,The Silent Horizon,Comedy,2005,7.0,43108,402.6
184,The Final Storm,Romance,2011,3.1,285428,329.5
185,The Golden Storm,Action,2011,5.6,138247,192.4
186,The Silent Journey,Romance,2017,8.2,217198,825.1
187,The Hidden Legacy,Horror,2025,6.5,123694,404.9
188,The Lost Legacy,Sci-Fi,2004,3.3,397134,381.7
189,The Broken Kingdom,Comedy,1997,5.5,358304,370.1
190,The Wild Dream,Drama,1999,3.1,291845,337.8
191,The Final Horizon,Documentary,2021,3.3,78605,126.1
192,The Silent Journey,Sci-Fi,2001,8.0,454956,455.3
193,The Hidden Storm,Sci-Fi,2025,2.8,144546,342.6
194,The Hidden Horizon,Horror,2016,7.3,25992,633.9
195,The Lost City,Documentary,2014,4.7,442044,417.9
196,The Broken Shadow,Drama,2023,7.9,168377,229.1
197,The Broken Storm,Comedy,2021,7.7,398343,439.1
198,The Golden Journey,Drama,2020,3.4,446473,445.7
199,The Broken Horizon,Comedy,1997,5.7,481462,306.4
200,The Final Legacy,Horror,2002,7.3,126995,316.7
